gameId,gameDate,hometeamCity,hometeamName,hometeamId,awayteamCity,awayteamName,awayteamId,homeScore,awayScore,winner,gameType,attendance,arenaId,gameLabel,gameSubLabel,seriesGameNumber
42400156,2025-05-02 21:00,Golden State,Warriors,1610612744,Houston,Rockets,1610612745,107,115,1610612745,Playoffs,18064,1000011,West First Round,Game 6,6
42400176,2025-05-01 22:00,Los Angeles,Clippers,1610612746,Denver,Nuggets,1610612743,111,105,1610612746,Playoffs,17927,1000137,West First Round,Game 6,6
42400126,2025-05-01 19:30,Detroit,Pistons,1610612765,New York,Knicks,1610612752,113,116,1610612752,Playoffs,20062,624,East First Round,Game 6,6
42400165,2025-04-30 22:00,Los Angeles,Lakers,1610612747,Minnesota,Timberwolves,1610612750,96,103,1610612750,Playoffs,18997,1000069,West First Round,Game 5,5
42400155,2025-04-30 19:30,Houston,Rockets,1610612745,Golden State,Warriors,1610612744,131,116,1610612745,Playoffs,18055,215,West First Round,Game 5,5
42400175,2025-04-29 22:00,Denver,Nuggets,1610612743,Los Angeles,Clippers,1610612746,131,115,1610612743,Playoffs,20005,1000046,West First Round,Game 5,5
42400115,2025-04-29 20:30,Boston,Celtics,1610612738,Orlando,Magic,1610612753,120,89,1610612738,Playoffs,19156,17,East First Round,Game 5,5
42400125,2025-04-29 19:30,New York,Knicks,1610612752,Detroit,Pistons,1610612765,103,106,1610612765,Playoffs,19812,30,East First Round,Game 5,5
42400135,2025-04-29 18:00,Indiana,Pacers,1610612754,Milwaukee,Bucks,1610612749,119,118,1610612754,Playoffs,17274,1000063,East First Round,Game 5,5
42400154,2025-04-28 22:00,Golden State,Warriors,1610612744,Houston,Rockets,1610612745,109,106,1610612744,Playoffs,18064,1000011,West First Round,Game 4,4
42400104,2025-04-28 19:30,Miami,Heat,1610612748,Cleveland,Cavaliers,1610612739,83,138,1610612739,Playoffs,19600,1000100,East First Round,Game 4,4
42400134,2025-04-27 21:30,Milwaukee,Bucks,1610612749,Indiana,Pacers,1610612754,103,129,1610612754,Playoffs,17855,642,East First Round,Game 4,4
42400114,2025-04-27 19:00,Orlando,Magic,1610612753,Boston,Celtics,1610612738,98,107,1610612738,Playoffs,19073,1000125,East First Round,Game 4,4
42400164,2025-04-27 15:30,Minnesota,Timberwolves,1610612750,Los Angeles,Lakers,1610612747,116,113,1610612750,Playoffs,19289,61,West First Round,Game 4,4
42400124,2025-04-27 13:00,Detroit,Pistons,1610612765,New York,Knicks,1610612752,93,94,1610612752,Playoffs,20062,624,East First Round,Game 4,4
42400153,2025-04-26 20:30,Golden State,Warriors,1610612744,Houston,Rockets,1610612745,104,93,1610612744,Playoffs,18064,1000011,West First Round,Game 3,3
42400174,2025-04-26 18:00,Los Angeles,Clippers,1610612746,Denver,Nuggets,1610612743,99,101,1610612743,Playoffs,17927,1000137,West First Round,Game 4,4
42400144,2025-04-26 15:30,Memphis,Grizzlies,1610612763,Oklahoma City,Thunder,1610612760,115,117,1610612760,Playoffs,16667,242,West First Round,Game 4,4
42400103,2025-04-26 13:00,Miami,Heat,1610612748,Cleveland,Cavaliers,1610612739,87,124,1610612739,Playoffs,19600,1000100,East First Round,Game 3,3
42400163,2025-04-25 21:30,Minnesota,Timberwolves,1610612750,Los Angeles,Lakers,1610612747,116,104,1610612750,Playoffs,19312,61,West First Round,Game 3,3
42400133,2025-04-25 20:00,Milwaukee,Bucks,1610612749,Indiana,Pacers,1610612754,117,101,1610612749,Playoffs,17942,642,East First Round,Game 3,3
42400113,2025-04-25 19:00,Orlando,Magic,1610612753,Boston,Celtics,1610612738,95,93,1610612753,Playoffs,18967,1000125,East First Round,Game 3,3
42400173,2025-04-24 22:00,Los Angeles,Clippers,1610612746,Denver,Nuggets,1610612743,117,83,1610612746,Playoffs,17927,1000137,West First Round,Game 3,3
42400143,2025-04-24 21:30,Memphis,Grizzlies,1610612763,Oklahoma City,Thunder,1610612760,108,114,1610612760,Playoffs,16849,242,West First Round,Game 3,3
